Status,Epoch,Loss,Accuracy,Accuracy per class,Macro F1,Precision,Recall
validation,0,0.28685186319053174,"tensor(0.9416, device='cuda:0')","[0, 0.006097560975609756, 0.0, 0.0, -1, -1, 0.0, 0.0, 0.0]",0.0012795905310300703,0.05263157894736842,0.0006476683937823834
validation,1,0.17510378416627645,"tensor(0.9578, device='cuda:0')","[0, -1, 0.6627218934911243, -1, -1, -1, -1, -1, -1]",0.1655580192165558,0.7225806451612903,0.09348914858096828
validation,2,0.20738719552755355,"tensor(0.9633, device='cuda:0')","[0, 0.5964912280701754, 0.6010928961748634, -1, 1.0, 0.0, -1, 0.375, 0.42857142857142855]",0.38854296388542964,0.624,0.2820976491862568
validation,3,0.09519883492030204,"tensor(0.9723, device='cuda:0')","[0, 0.611764705882353, 0.6736842105263158, 1.0, 0.5930232558139535, 0.2, 0.06451612903225806, 0.3582089552238806, 0.5683060109289617]",0.5953031130529766,0.6293302540415704,0.5647668393782384
validation,4,0.06313697937875987,"tensor(0.9788, device='cuda:0')","[0, 0.6422413793103449, 0.7002583979328165, 0.9333333333333333, 0.7633587786259542, 0.2222222222222222, 0.11764705882352941, 0.4479166666666667, 0.655]",0.7155778894472362,0.6846153846153846,0.7494736842105263
validation,5,0.056656826462130994,"tensor(0.9832, device='cuda:0')","[0, 0.7296137339055794, 0.7553763440860215, 0.9615384615384616, 0.7121212121212122, 0.631578947368421, 0.0, 0.5625, 0.7395348837209302]",0.79182156133829,0.7627573858549687,0.8231884057971014
validation,6,0.044952793448464944,"tensor(0.9872, device='cuda:0')","[0, 0.7591836734693878, 0.788135593220339, 0.9230769230769231, 0.7868852459016393, 0.5357142857142857, 1.0, 0.7788461538461539, 0.84375]",0.8445052439580483,0.8165784832451499,0.874409820585458
validation,7,0.042543778731487694,"tensor(0.9876, device='cuda:0')","[0, 0.801762114537445, 0.8302469135802469, 0.7575757575757576, 0.8324324324324325, 0.56, 0.7272727272727273, 0.6343283582089553, 0.8431372549019608]",0.8501805054151624,0.8162911611785095,0.8870056497175142
validation,8,0.024278258834965528,"tensor(0.9911, device='cuda:0')","[0, 0.9056603773584906, 0.8302469135802469, 0.9655172413793104, 0.859375, 0.6538461538461539, 0.7608695652173914, 0.8141592920353983, 0.9119170984455959]",0.8956140350877193,0.8748928877463582,0.917340521114106
validation,9,0.01566719994007144,"tensor(0.9930, device='cuda:0')","[0, 0.9121951219512195, 0.9096989966555183, 0.9375, 0.8428571428571429, 0.803030303030303, 0.975609756097561, 0.8629032258064516, 0.9414893617021277]",0.9200000000000002,0.923931623931624,0.9161016949152543
validation,10,0.010457268063328229,"tensor(0.9952, device='cuda:0')","[0, 0.9333333333333333, 0.920265780730897, 1.0, 0.9523809523809523, 0.8461538461538461, 0.9523809523809523, 0.8888888888888888, 0.9421052631578948]",0.9461179465422147,0.9346186085498742,0.9579037800687286
validation,11,0.01454652464890387,"tensor(0.9958, device='cuda:0')","[0, 0.9166666666666666, 0.9364548494983278, 0.96875, 0.93717277486911, 0.8676470588235294, 1.0, 0.9398496240601504, 0.9680851063829787]",0.9534200587494754,0.9522212908633697,0.9546218487394958
validation,12,0.004868445827742107,"tensor(0.9967, device='cuda:0')","[0, 0.9705882352941176, 0.9518900343642611, 1.0, 0.9484536082474226, 0.863013698630137, 0.9347826086956522, 0.9333333333333333, 0.9736842105263158]",0.962839248434238,0.9608333333333333,0.9648535564853556
validation,13,0.006578214786713943,"tensor(0.9966, device='cuda:0')","[0, 0.9560975609756097, 0.9656357388316151, 1.0, 0.9292929292929293, 0.9178082191780822, 0.9183673469387755, 0.96875, 0.9536082474226805]",0.9625312239800166,0.9681742043551089,0.956953642384106
validation,14,0.004598782349785324,"tensor(0.9957, device='cuda:0')","[0, 0.9414634146341463, 0.9251700680272109, 1.0, 0.9438775510204082, 0.8082191780821918, 0.9583333333333334, 0.96875, 0.905940594059406]",0.9523809523809524,0.946843853820598,0.957983193277311
